date,ru_business_climate,ru_business_climate_current,ru_business_climate_expectations,ru_business_price_expectations,period_end,available_date_proxy
2024-07-01,10.0824,6.4149,13.8151,22.758,2024-06-30,2024-07-15
2024-08-01,7.6101,2.3669,12.989,22.6952,2024-07-31,2024-08-15
2024-09-01,6.282,1.4071,11.2748,22.192,2024-08-31,2024-09-15
2024-10-01,4.8506,-1.9145,11.8468,22.5491,2024-09-30,2024-10-15
2024-11-01,5.2948,-0.7012,11.4712,23.1505,2024-10-31,2024-11-15
2024-12-01,4.8249,-0.996,10.816,25.131,2024-11-30,2024-12-15
2025-01-01,4.0445,-3.0783,11.4249,27.0434,2024-12-31,2025-01-15
2025-02-01,3.8229,-2.8076,10.6763,26.3795,2025-01-31,2025-02-15
2025-03-01,5.4302,-0.0718,11.0836,23.0437,2025-02-28,2025-03-15
2025-04-01,4.6896,-2.4791,12.1184,20.1365,2025-03-31,2025-04-15
2025-05-01,4.467,-3.4308,12.6822,19.5187,2025-04-30,2025-05-15
2025-06-01,4.5635,-1.3005,10.6005,18.8423,2025-05-31,2025-06-15
2025-07-01,2.8223,-3.2118,9.0415,18.8367,2025-06-30,2025-07-15
2025-08-01,1.6642,-5.0009,8.5572,18.3918,2025-07-31,2025-08-15
2025-09-01,2.3302,-4.7018,9.6154,18.2432,2025-08-31,2025-09-15
2025-10-01,1.3311,-6.6562,9.6484,17.3903,2025-09-30,2025-10-15
2025-11-01,2.2555,-4.9797,9.7592,19.0998,2025-10-31,2025-11-15
2025-12-01,3.2959,-4.5528,11.4599,22.2881,2025-11-30,2025-12-15
2026-01-01,2.4901,-5.4226,10.7246,24.2663,2025-12-31,2026-01-15
2026-02-01,1.4006,-4.2738,7.2394,29.2032,2026-01-31,2026-02-15
2026-03-01,0.0668,-7.4661,7.8945,20.1106,2026-02-28,2026-03-15
2026-04-01,-0.1417,-8.5289,8.6129,19.5809,2026-03-31,2026-04-15
2026-05-01,1.9868,-5.4193,9.6748,18.5334,2026-04-30,2026-05-15
2026-06-01,1.5146,-5.446,8.7243,16.6043,2026-05-31,2026-06-15
2026-07-01,0.8613,-5.2168,7.129,15.9875,2026-06-30,2026-07-15
2026-08-01,-3.5407,-9.7343,2.8545,20.3653,2026-07-31,2026-08-15
2026-09-01,-2.4008,-9.9514,5.4497,21.0407,2026-08-31,2026-09-15
